mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
MCPH1,rs2442629-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8692713,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of MCPH1 mRNA",affects^cotreatment|decreases^expression
MCPH1,rs2442629-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8692713,methylmercuric chloride,methylmercuric chloride results in decreased expression of MCPH1 mRNA,decreases^expression
MECOM,rs12636475-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),2e-6,2.987,methylmercuric chloride,methylmercuric chloride results in decreased expression of MECOM mRNA,decreases^expression
MGMT,rs12256016-G,Alzheimer's disease,2e-14,2.02,Lead,Lead affects the methylation of MGMT gene,affects^methylation
MICAL2,rs114029559-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,1.5458903,Lead,Lead results in decreased expression of MICAL2 mRNA,decreases^expression
MID1,rs12852495-T,Alzheimer's disease,7e-6,1.24,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of MID1 mRNA",affects^cotreatment|decreases^expression
MID1,rs12852495-T,Alzheimer's disease,7e-6,1.24,methylmercuric chloride,methylmercuric chloride results in decreased expression of MID1 mRNA,decreases^expression
MIR31HG,rs138281272-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-6,1.7492725,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of MIR31HG mRNA",affects^cotreatment|increases^expression
MKLN1,rs4731788-?,Alzheimer's disease in non-APOE e4 carriers,5e-6,0.616,methylmercuric chloride,methylmercuric chloride results in decreased expression of MKLN1 mRNA,decreases^expression
MLLT3,rs56362410-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.8792377,lead acetate,[lead acetate co-treated with zinc protoporphyrin] results in increased expression of MLLT3 mRNA,affects^cotreatment|increases^expression
MLLT3,rs56362410-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.8792377,methylmercuric chloride,methylmercuric chloride results in decreased expression of MLLT3 mRNA,decreases^expression
MLPH,rs10177231-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,6.513,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of MLPH mRNA",affects^cotreatment|increases^expression
MLPH,rs10177231-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,6.513,lead acetate,lead acetate results in increased expression of MLPH mRNA,increases^expression
MME,rs61762319-G,Alzheimer's disease,2e-11,1.16,Lead,Lead affects the folding of MME protein,affects^folding
MME,rs61762319-G,Alzheimer's disease,2e-11,1.16,Mercury,Mercury affects the folding of and results in decreased activity of MME protein,affects^folding|decreases^activity
MME,rs61762319-G,Alzheimer's disease,2e-11,1.16,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of MME mRNA",affects^cotreatment|increases^expression
MMP3,rs12808148-?,Alzheimer's disease,1e-6,1.23,lead acetate,[sodium arsenite co-treated with lead acetate] results in increased expression of MMP3 protein,affects^cotreatment|increases^expression
MOB3B,rs117770454-?,Alzheimer's disease in APOE e4+ carriers,2e-6,2.844,methylmercuric chloride,methylmercuric chloride results in decreased expression of MOB3B mRNA,decreases^expression
MOB3C,rs77694075-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",6e-6,1.3609731,methylmercuric chloride,methylmercuric chloride results in increased expression of MOB3C mRNA,increases^expression
MPP7,rs11006923-?,Psychosis and Alzheimer's disease,9e-6,1.5873016,methylmercuric chloride,methylmercuric chloride results in decreased expression of MPP7 mRNA,decreases^expression
MRC1,rs4748424-G,Alzheimer's disease,3e-9,0.682,Lead,[Lead co-treated with amyloid beta-protein (1-40) co-treated with amyloid beta-protein (25-35)] results in decreased expression of MRC1 mRNA,affects^cotreatment|decreases^expression
MROH1,rs77501143-T,Alzheimer's disease,2e-6,1.11,Lead,Lead affects the expression of MROH1 mRNA,affects^expression
MROH1,rs77501143-T,Alzheimer's disease,2e-6,1.11,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of MROH1 mRNA",affects^cotreatment|increases^expression
MROH1,rs77501143-T,Alzheimer's disease,2e-6,1.11,methylmercuric chloride,methylmercuric chloride results in decreased expression of MROH1 mRNA,decreases^expression
MSX2,rs10061074-?,Posterior cortical atrophy and Alzheimer's disease,7e-6,2.73556,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of MSX2 mRNA",affects^cotreatment|increases^expression
MSX2,rs10061074-?,Posterior cortical atrophy and Alzheimer's disease,7e-6,2.73556,mercuric bromide,mercuric bromide results in increased expression of MSX2 mRNA,increases^expression
MSX2,rs10061074-?,Posterior cortical atrophy and Alzheimer's disease,7e-6,2.73556,methylmercuric chloride,methylmercuric chloride results in increased expression of MSX2 mRNA,increases^expression
MTHFD1L,rs11754661-A,Alzheimer's disease (late onset),2e-10,2.1,methylmercuric chloride,methylmercuric chloride results in increased expression of MTHFD1L mRNA,increases^expression
MTM1,rs146964414-T,Alzheimer's disease,8e-8,1.05,methylmercuric chloride,methylmercuric chloride results in decreased expression of MTM1 mRNA,decreases^expression
MTMR14,rs4684648-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),1e-6,2.822,Lead,Lead results in decreased expression of MTMR14 mRNA,decreases^expression
MYO16,rs912322-A,Alzheimer's disease,1e-6,1.259729,Lead,Lead affects the expression of MYO16 mRNA,affects^expression
MYO1E,rs7180978-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.86692744,Lead,Lead results in decreased expression of MYO1E mRNA,decreases^expression
MYT1L,rs2668811-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,1.5309677,methylmercuric chloride,methylmercuric chloride results in increased expression of MYT1L mRNA,increases^expression
NAV2,rs58906355-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-7,1.5548825,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of NAV2 mRNA",affects^cotreatment|increases^expression
NAV2,rs58906355-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-7,1.5548825,methylmercuric chloride,methylmercuric chloride results in increased expression of NAV2 mRNA,increases^expression
NBAS,rs147929195-?,Alzheimer's disease in non-APOE e4 carriers,5e-6,2.895,Lead,Lead results in decreased expression of NBAS mRNA,decreases^expression
NDST4,rs72906927-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,1.3133748,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of NDST4 mRNA",affects^cotreatment|increases^expression
NDST4,rs72906927-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,1.3133748,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of NDST4 mRNA",affects^cotreatment|increases^expression
NEGR1,rs190217640-?,Alzheimer's disease (late onset),7e-6,1.4492754,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of NEGR1 mRNA",affects^cotreatment|decreases^expression
NFIC,rs9749589-T,Alzheimer's disease (APOE e4 interaction),2e-8,1.3157895,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of NFIC mRNA",affects^cotreatment|decreases^expression
NFIL3,rs62562580-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",2e-6,1.3160042,lead acetate,lead acetate results in decreased expression of NFIL3 mRNA,decreases^expression
NKAIN3,rs149580982-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,0.48568258,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of NKAIN3 mRNA",affects^cotreatment|decreases^expression
NKAIN3,rs149580982-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,0.48568258,mercuric bromide,mercuric bromide results in decreased expression of NKAIN3 mRNA,decreases^expression
NKAIN3,rs149580982-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,0.48568258,methylmercuric chloride,methylmercuric chloride results in decreased expression of NKAIN3 mRNA,decreases^expression
NKX2-6,rs17089546-A,Alzheimer's disease with multiple cognitive domain impairments,3e-6,1.86,Lead,Lead affects the methylation of NKX2-6 gene,affects^methylation
NME8,rs6966331-T,Alzheimer's disease,5e-10,0.96,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of NME8 mRNA",affects^cotreatment|increases^expression
NME8,rs6966331-T,Alzheimer's disease,5e-10,0.96,mercuric bromide,mercuric bromide results in increased expression of NME8 mRNA,increases^expression
NME8,rs6966331-T,Alzheimer's disease,5e-10,0.96,methylmercuric chloride,methylmercuric chloride results in increased expression of NME8 mRNA,increases^expression
NMRAL2P,rs9290830-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-6,0.8694452,lead acetate,lead acetate results in increased expression of NMRAL2P mRNA,increases^expression
NOS1,rs11068410-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,1.3598849,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of NOS1 mRNA",affects^cotreatment|decreases^expression
NOS1,rs11068410-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,1.3598849,lead chloride,lead chloride results in decreased expression of NOS1 mRNA,decreases^expression
NOVA2,rs9789319-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),2e-18,1.14,Phenylmercuric Acetate,Phenylmercuric Acetate results in decreased expression of NOVA2 mRNA,decreases^expression
NOVA2,rs9789319-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),2e-18,1.14,methylmercuric chloride,methylmercuric chloride results in decreased expression of NOVA2 mRNA,decreases^expression
NPAS3,rs79709644-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.6375644,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of NPAS3 mRNA",affects^cotreatment|increases^expression
NPAS3,rs79709644-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.6375644,methylmercuric chloride,methylmercuric chloride results in increased expression of NPAS3 mRNA,increases^expression
NPR3,rs113892311-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.7435643,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of NPR3 mRNA",affects^cotreatment|increases^expression
NRG1,rs73588391-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,1.4253252,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of NRG1 mRNA",affects^cotreatment|decreases^expression
NRG1,rs73588391-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,1.4253252,methylmercuric chloride,methylmercuric chloride results in decreased expression of NRG1 mRNA,decreases^expression
NRXN1,rs698842-A,Alzheimer's disease with multiple cognitive domain impairments,2e-6,1.96,Lead,Lead affects the splicing of NRXN1 mRNA,affects^splicing
NRXN1,rs698842-A,Alzheimer's disease with multiple cognitive domain impairments,2e-6,1.96,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of NRXN1 mRNA",affects^cotreatment|decreases^expression
NRXN1,rs698842-A,Alzheimer's disease with multiple cognitive domain impairments,2e-6,1.96,methylmercuric chloride,methylmercuric chloride results in decreased expression of NRXN1 mRNA,decreases^expression
NRXN3,rs76560721-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-7,0.6780054,Lead,Lead affects the expression of NRXN3 mRNA,affects^expression
NRXN3,rs76560721-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-7,0.6780054,mercuric bromide,mercuric bromide results in decreased expression of NRXN3 mRNA,decreases^expression
NRXN3,rs76560721-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-7,0.6780054,methylmercuric chloride,methylmercuric chloride results in decreased expression of NRXN3 mRNA,decreases^expression
NSUN2,rs149689599-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-6,1.6202817,Lead,Lead affects the expression of NSUN2 mRNA,affects^expression
NSUN2,rs149689599-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-6,1.6202817,lead acetate,[sodium arsenite co-treated with lead acetate] results in decreased expression of NSUN2 protein,affects^cotreatment|decreases^expression
NTRK3,rs74536859-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),1e-6,2.928,Mercury,Mercury results in increased expression of NTRK3 mRNA,increases^expression
NTRK3,rs74536859-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),1e-6,2.928,methylmercuric chloride,methylmercuric chloride results in decreased expression of NTRK3 mRNA,decreases^expression
NUDT12,rs13161859-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),3e-7,1.816,methylmercuric chloride,methylmercuric chloride results in decreased expression of NUDT12 mRNA,decreases^expression
NXN,rs2457270-C,Alzheimer's disease,5e-8,2.39,Lead,Lead affects the expression of NXN mRNA,affects^expression
OARD1,rs114812713-C,Alzheimer's disease (late onset),2e-13,1.32,methylmercuric chloride,methylmercuric chloride results in decreased expression of OARD1 mRNA,decreases^expression
OLFM1,rs11103626-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.6712971,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of OLFM1 mRNA",affects^cotreatment|decreases^expression
OLFM1,rs11103626-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.6712971,methylmercuric chloride,methylmercuric chloride results in increased expression of OLFM1 mRNA,increases^expression
ONECUT2,rs60299126-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,0.7649078,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ONECUT2 mRNA",affects^cotreatment|increases^expression
ONECUT2,rs60299126-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,0.7649078,mercuric bromide,mercuric bromide results in increased expression of ONECUT2 mRNA,increases^expression
OPCML,rs543805552-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",2e-6,0.54700357,Lead,Lead affects the expression of OPCML mRNA,affects^expression
ORM1,rs116516483-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.7875724,Lead,ORM1 protein binds to Lead,affects^binding
ORM1,rs116516483-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.7875724,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ORM1 mRNA",affects^cotreatment|decreases^expression
ORM2,rs116516483-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.7875724,Lead,ORM2 protein binds to Lead,affects^binding
ORM2,rs116516483-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.7875724,Phenylmercuric Acetate,Phenylmercuric Acetate results in decreased expression of ORM2 mRNA,decreases^expression
ORM2,rs116516483-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.7875724,methylmercuric chloride,methylmercuric chloride results in increased expression of ORM2 mRNA,increases^expression
OVOL2,rs7264688-T,Alzheimer's disease with no specific cognitive domain impairment,5e-6,1.47,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of OVOL2 mRNA",affects^cotreatment|increases^expression
OVOL2,rs7264688-T,Alzheimer's disease with no specific cognitive domain impairment,5e-6,1.47,mercuric bromide,mercuric bromide results in increased expression of OVOL2 mRNA,increases^expression
OVOL2,rs7264688-T,Alzheimer's disease with no specific cognitive domain impairment,5e-6,1.47,methylmercuric chloride,methylmercuric chloride results in decreased expression of OVOL2 mRNA,decreases^expression
PACS2,rs10134192-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-6,1.3598849,Lead,Lead results in increased expression of PACS2 mRNA,increases^expression
PACS2,rs10134192-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-6,1.3598849,methylmercuric chloride,methylmercuric chloride results in decreased expression of PACS2 mRNA,decreases^expression
PAK1,rs10899384-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),7e-7,2.183,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PAK1 mRNA",affects^cotreatment|decreases^expression
PAK1,rs10899384-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),7e-7,2.183,methylmercuric chloride,methylmercuric chloride results in decreased expression of PAK1 mRNA,decreases^expression
PAK5,rs190875284-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",9e-6,1.6691258,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PAK5 mRNA",affects^cotreatment|decreases^expression
PAK5,rs190875284-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",9e-6,1.6691258,methylmercuric chloride,methylmercuric chloride results in decreased expression of PAK5 mRNA,decreases^expression
PAX3,rs188995929-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,9.42,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PAX3 mRNA",affects^cotreatment|increases^expression
PAX3,rs188995929-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,9.42,methylmercuric chloride,methylmercuric chloride results in decreased expression of PAX3 mRNA,decreases^expression
PBX1,rs116656933-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,1.7872891,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PBX1 mRNA",affects^cotreatment|decreases^expression
PBX1,rs116656933-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,1.7872891,methylmercuric chloride,methylmercuric chloride results in decreased expression of PBX1 mRNA,decreases^expression
PCDH7,rs6856768-?,Alzheimer's disease,5e-6,1.18,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PCDH7 mRNA",affects^cotreatment|increases^expression
PCDH7,rs6856768-?,Alzheimer's disease,5e-6,1.18,methylmercuric chloride,methylmercuric chloride results in decreased expression of PCDH7 mRNA,decreases^expression
PCSK5,rs7022215-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,1.1960207,methylmercuric chloride,methylmercuric chloride results in decreased expression of PCSK5 mRNA,decreases^expression
PDE10A,rs78375762-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,0.68461406,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PDE10A mRNA",affects^cotreatment|decreases^expression
PDE10A,rs78375762-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,0.68461406,mercuric bromide,mercuric bromide results in decreased expression of PDE10A mRNA,decreases^expression
PDE1A,rs17366218-A,Alzheimer's disease in APOE e4+ carriers,2e-6,1.5384616,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PDE1A mRNA",affects^cotreatment|increases^expression
PDE1A,rs17366218-A,Alzheimer's disease in APOE e4+ carriers,2e-6,1.5384616,methylmercuric chloride,methylmercuric chloride results in increased expression of PDE1A mRNA,increases^expression
PDZD2,rs397963019-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,0.8488269,methylmercuric chloride,methylmercuric chloride results in decreased expression of PDZD2 mRNA,decreases^expression
PEX6,rs1129187-T,Alzheimer's disease in APOE e4+ carriers,7e-6,1.13,Lead,Lead affects the expression of PEX6 mRNA,affects^expression
PHACTR2,rs147392381-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",9e-7,1.7270246,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PHACTR2 mRNA",affects^cotreatment|increases^expression
PHACTR2,rs147392381-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",9e-7,1.7270246,methylmercuric chloride,methylmercuric chloride results in increased expression of PHACTR2 mRNA,increases^expression
PICALM,rs1898895-C,Alzheimer's disease,1e-14,0.89,methylmercuric chloride,methylmercuric chloride results in increased expression of PICALM mRNA,increases^expression
PIK3AP1,rs141081778-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.52782,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PIK3AP1 mRNA",affects^cotreatment|decreases^expression
PIK3R1,rs115207223-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,1.7093275000000001,Lead,Lead affects the expression of PIK3R1 mRNA,affects^expression
PIP4K2A,rs560148588-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.57689214,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PIP4K2A mRNA",affects^cotreatment|decreases^expression
PIP4K2A,rs560148588-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.57689214,mercuric bromide,mercuric bromide results in decreased expression of PIP4K2A mRNA,decreases^expression
PKNOX2,rs11601321-?,Alzheimer's disease (survival time),8e-6,1.63,mercuric bromide,mercuric bromide results in decreased expression of PKNOX2 mRNA,decreases^expression
PKNOX2,rs11601321-?,Alzheimer's disease (survival time),8e-6,1.63,methylmercuric chloride,methylmercuric chloride results in decreased expression of PKNOX2 mRNA,decreases^expression
PLCG2,rs12446759-G,Alzheimer's disease,1e-13,0.95,methylmercury II,methylmercury II results in decreased expression of PLCG2 mRNA,decreases^expression
PLEC,rs35139934-A,Alzheimer's disease,3e-8,1.1,Lead,Lead affects the expression of PLEC mRNA,affects^expression
PLEC,rs35139934-A,Alzheimer's disease,3e-8,1.1,lead acetate,lead acetate results in increased expression of PLEC mRNA,increases^expression
PNMA1,rs12587545-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,1.1951839,Mercury,Mercury results in decreased expression of PNMA1 mRNA,decreases^expression
POLR3B,rs11610873-C,Alzheimer's disease or related dementias (adjusted for APOE E4 dosage),3e-7,0.75,Lead,Lead results in increased expression of POLR3B mRNA,increases^expression
