riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits,bgTraits,accessionId,locations
rs1293298-A,2e-14,-,NR,-,-,-,CTSB,Parkinson's disease,Parkinson disease,-,GCST90308590,8:11854934
rs146143531-T,2e-10,(random effect),NR,-,-,-,DCST1,Parkinson's disease,Parkinson disease,-,GCST90308590,1:155042492
rs35682329-A,1.0000000000000001e-75,(random effect),NR,-,-,-,HMGN2P18,Parkinson's disease,Parkinson disease,-,GCST90308590,1:155148667
rs10737170-A,3e-10,-,NR,-,-,-,LMNA,Parkinson's disease,Parkinson disease,-,GCST90308590,1:156094089
rs35161831-T,1e-15,(random effect),NR,-,-,-,CCT3,Parkinson's disease,Parkinson disease,-,GCST90308590,1:156330940
rs6658353-C,2e-11,-,NR,-,-,-,"FCGR2A,RNU6-481P",Parkinson's disease,Parkinson disease,-,GCST90308590,1:161499264
rs17411858-A,5e-9,(random effect),NR,-,-,-,"FCGR3B,FCGR2B",Parkinson's disease,Parkinson disease,-,GCST90308590,1:161647726
rs1108439-A,2e-8,-,NR,-,-,-,TBC1D5,Parkinson's disease,Parkinson disease,-,GCST90308590,3:18159827
rs16833168-T,3e-12,(random effect),NR,-,-,-,PARP9,Parkinson's disease,Parkinson disease,-,GCST90308590,3:122535800
rs6806917-T,3e-9,-,NR,-,-,-,PIK3CA-DT,Parkinson's disease,Parkinson disease,-,GCST90308590,3:179143629
rs10513789-T,6e-50,-,NR,-,-,-,MCCC1,Parkinson's disease,Parkinson disease,-,GCST90308590,3:183042285
rs71314284-T,1e-8,-,NR,-,-,-,LAMP3,Parkinson's disease,Parkinson disease,-,GCST90308590,3:183160467
rs16843452-T,3e-7,-,NR,-,-,-,ADD1,Parkinson's disease,Parkinson disease,-,GCST90308590,4:2847441
rs11177328-A,3e-11,(random effect),NR,-,-,-,"CNTN1,MUC19",Parkinson's disease,Parkinson disease,-,GCST90308590,12:40583994
rs1442190-A,2e-15,-,NR,-,-,-,CNTN1,Parkinson's disease,Parkinson disease,-,GCST90308590,12:40971838
rs114762839-A,1e-10,(random effect),NR,-,-,-,"GPRIN3,SNCA",Parkinson's disease,Parkinson disease,-,GCST90308590,4:89447394
rs79483792-T,3e-17,-,NR,-,-,-,"SNCA,GPRIN3",Parkinson's disease,Parkinson disease,-,GCST90308590,4:89582510
rs78327649-C,2e-12,(random effect),NR,-,-,-,"CCSER1,MMRN1",Parkinson's disease,Parkinson disease,-,GCST90308590,4:90059181
rs28659953-T,3e-8,-,NR,-,-,-,RILPL2,Parkinson's disease,Parkinson disease,-,GCST90308590,12:123427666
rs13117519-T,3e-11,-,NR,-,-,-,CAMK2D,Parkinson's disease,Parkinson disease,-,GCST90308590,4:113447909
rs1127021-T,2e-8,-,NR,-,-,-,KPNA3,Parkinson's disease,Parkinson disease,-,GCST90308590,13:49721979
rs9393826-A,1e-8,-,NR,-,-,-,"CD83P1,RNU6-471P",Parkinson's disease,Parkinson disease,-,GCST90308590,6:27584991
rs3796661-C,4e-13,-,NR,0.69,-,[0.62-0.76],SNCA,Parkinson's disease,Parkinson disease,-,GCST90278092,4:89766356
rs34778348-A,5e-13,-,NR,2.56,-,[1.99-3.31],LRRK2,Parkinson's disease,Parkinson disease,-,GCST90278092,12:40363526
rs708726-T,2e-8,-,NR,0.75,-,[0.68-0.83],SLC41A1,Parkinson's disease,Parkinson disease,-,GCST90278092,1:205793011
rs2451713-C,5e-8,-,NR,1.88,-,[1.5-2.36],"GUSBP2,ZNF322",Parkinson's disease,Parkinson disease,-,GCST90278092,6:26660427
rs708723-C,7e-8,-,NR,0.76,-,[0.69-0.84],RAB29,Parkinson's disease,Parkinson disease,-,GCST90278092,1:205770138
rs34778348-A,2e-9,-,NR,3.53,-,[2.35-5.29],LRRK2,Parkinson's disease,Parkinson disease,-,GCST90296432,12:40363526
rs3796661-C,5e-9,-,NR,0.63,-,[0.54-0.74],SNCA,Parkinson's disease,Parkinson disease,-,GCST90296432,4:89766356
rs708726-T,8e-6,-,NR,0.67,-,[0.57-0.79],SLC41A1,Parkinson's disease,Parkinson disease,-,GCST90296433,1:205793011
rs139422381-A,2e-6,-,NR,4.02,-,[2.25-7.16],ROPN1L,Parkinson's disease,Parkinson disease,-,GCST90296433,5:10558686
rs947211-A,3e-6,-,NR,0.69,-,[0.59-0.8],"SLC41A1,RAB29",Parkinson's disease,Parkinson disease,-,GCST90296433,1:205783537
rs10746109-A,4e-6,-,NR,1.46,-,[1.24-1.71],"WSCD2,ASCL4",Parkinson's disease,Parkinson disease,-,GCST90296433,12:108067384
rs12748961-T,5e-6,-,NR,0.69,-,[0.59-0.81],"Metazoa_SRP,NUCKS1",Parkinson's disease,Parkinson disease,-,GCST90296433,1:205707135
rs1949132-C,7e-6,-,NR,1.78,-,[1.39-2.29],"RN7SL869P,RN7SL35P",Parkinson's disease,Parkinson disease,-,GCST90296433,7:80250162
rs111841435-C,4e-6,-,0.144,1.1,-,[1.06-1.15],PTCHD1-AS,Parkinson's disease,Parkinson disease,-,GCST90104086,X:23324255
rs28602900-A,4e-7,-,0.115,1.11,-,[1.07-1.15],"DNASE1L1,RPL10",Parkinson's disease,Parkinson disease,-,GCST90104086,X:154405192
rs7066890-T,1e-8,-,0.155,1.1,-,[1.06-1.13],GPM6B,Parkinson's disease,Parkinson disease,-,GCST90104087,X:13874463
rs11796528-A,1e-6,-,0.169,1.08,-,[1.05-1.11],"PJA1,EFNB1",Parkinson's disease,Parkinson disease,-,GCST90104087,X:69159006
rs41306249-T,1e-7,-,0.047,1.15,-,[1.09-1.22],RTL9,Parkinson's disease,Parkinson disease,-,GCST90104087,X:110454215
rs28602900-A,1e-9,-,0.115,1.1,-,[1.07-1.14],"DNASE1L1,RPL10",Parkinson's disease,Parkinson disease,-,GCST90104087,X:154405192
rs421016-G,1e-14,-,NR,-,1.979 unit increase,[1.48-2.48],GBA1,Parkinson's disease,Parkinson disease,-,GCST90270939,1:155235252
rs823118-C,1.0000000000000001e-23,-,NR,-,0.208 unit decrease,[0.17-0.25],"NUCKS1,RAB29",Parkinson's disease,Parkinson disease,-,GCST90270939,1:205754444
rs11557080-G,1.0000000000000001e-24,-,NR,-,0.215 unit decrease,[0.17-0.26],RAB29,Parkinson's disease,Parkinson disease,-,GCST90270939,1:205768611
rs10748818-G,3e-6,-,NR,-,0.098 unit increase,[0.057-0.139],GBF1,Parkinson's disease,Parkinson disease,-,GCST90270939,10:102255522
rs7938782-G,1e-5,-,NR,-,0.123 unit decrease,[0.068-0.178],RNF141,Parkinson's disease,Parkinson disease,-,GCST90270939,11:10537230
rs10847864-G,4e-7,-,NR,-,0.102 unit decrease,[0.063-0.141],HIP1R,Parkinson's disease,Parkinson disease,-,GCST90270939,12:122842051
rs34594498-T,4e-20,-,NR,-,0.883 unit increase,[0.69-1.07],LRRK2,Parkinson's disease,Parkinson disease,-,GCST90270939,12:40252984
rs34778348-C,3e-30,-,NR,-,0.608 unit increase,[0.5-0.71],LRRK2,Parkinson's disease,Parkinson disease,-,GCST90270939,12:40363526
rs11158026-C,2e-9,-,NR,-,0.12 unit increase,[0.081-0.159],GCH1,Parkinson's disease,Parkinson disease,-,GCST90270939,14:54882151
rs2251086-T,1e-9,-,NR,-,0.164 unit decrease,[0.11-0.22],"RORA,LINC02349",Parkinson's disease,Parkinson disease,-,GCST90270939,15:61705186
rs61204179-T,1e-9,-,NR,-,0.291 unit increase,[0.2-0.39],HEATR6,Parkinson's disease,Parkinson disease,-,GCST90270939,17:60061921
rs12456492-G,2e-7,-,NR,-,0.106 unit increase,[0.067-0.145],RIT2,Parkinson's disease,Parkinson disease,-,GCST90270939,18:43093415
rs2248244-A,4e-7,-,NR,-,0.105 unit increase,[0.064-0.146],DYRK1A,Parkinson's disease,Parkinson disease,-,GCST90270939,21:37480059
rs10513789-T,4e-17,-,NR,-,0.173 unit increase,[0.13-0.21],MCCC1,Parkinson's disease,Parkinson disease,-,GCST90270939,3:183042285
rs4698412-A,1e-13,-,NR,-,0.15 unit increase,[0.11-0.19],BST1,Parkinson's disease,Parkinson disease,-,GCST90270939,4:15735725
rs6825004-G,3e-6,-,NR,-,0.097 unit decrease,[0.056-0.138],SCARB2,Parkinson's disease,Parkinson disease,-,GCST90270939,4:76189212
rs356182-A,3e-53,-,NR,-,0.343 unit decrease,[0.3-0.39],SNCA,Parkinson's disease,Parkinson disease,-,GCST90270939,4:89704960
rs34311866-C,3e-6,-,NR,-,0.134 unit increase,[0.077-0.191],TMEM175,Parkinson's disease,Parkinson disease,-,GCST90270939,4:958159
rs997368-G,1e-8,-,NR,-,0.119 unit decrease,[0.078-0.16],"LINC02527,CCN6",Parkinson's disease,Parkinson disease,-,GCST90270939,6:111922088
rs2230288-T,1e-18,-,NR,-,0.4 unit increase,-,GBA1,Parkinson's disease,Parkinson disease,-,GCST90455618,1:155236376
rs9917256-A,8e-11,-,NR,-,0.15 unit increase,-,"RN7SL813P,STK39",Parkinson's disease,Parkinson disease,-,GCST90455618,2:168286525
rs34311866-C,1e-12,-,NR,-,0.17 unit increase,-,TMEM175,Parkinson's disease,Parkinson disease,-,GCST90455618,4:958159
rs1372519-G,3e-12,-,NR,-,0.18 unit increase,-,SNCA,Parkinson's disease,Parkinson disease,-,GCST90455618,4:89836158
rs2760980-A,3e-9,-,NR,-,0.15 unit decrease,-,"HLA-DQA1,HLA-DRB1",Parkinson's disease,Parkinson disease,-,GCST90455618,6:32597424
rs34637584-A,7e-12,-,NR,-,2.27 unit increase,-,LRRK2,Parkinson's disease,Parkinson disease,-,GCST90455618,12:40340400
rs10847839-C,5e-8,-,NR,-,0.14 unit decrease,-,HIP1R,Parkinson's disease,Parkinson disease,-,GCST90455618,12:122838013
rs11158026-T,3e-8,-,NR,-,0.1 unit decrease,-,GCH1,Parkinson's disease,Parkinson disease,-,GCST90455618,14:54882151
rs4630591-T,1e-18,-,NR,-,0.25 unit decrease,-,KANSL1,Parkinson's disease,Parkinson disease,-,GCST90455618,17:46115202
rs6857-T,2e-9,-,NR,-,0.13 unit increase,-,"NECTIN2,LNCOB1",Parkinson's disease,Parkinson disease,-,GCST90455618,19:44888997
rs145330152-C,1e-9,-,0.01357,2.22123,-,[1.71904-2.87012},ASH1L,Parkinson's disease,Parkinson disease,-,GCST012431,1:155401328
rs187989831-C,8e-10,-,0.005,3.59353E-4,-,[0.0000287389-0.00449338},"TEKT4,MTCO1P48",Parkinson's disease,Parkinson disease,-,GCST012431,2:94894760
rs34311866-C,6e-11,-,0.31849,1.25164,-,[1.17023-1.33871},TMEM175,Parkinson's disease,Parkinson disease,-,GCST012431,4:958159
rs983361-T,6e-9,-,0.217,0.819506,-,[0.766273-0.876438},SNCA-AS1,Parkinson's disease,Parkinson disease,-,GCST012431,4:89840793
rs137887044-C,2e-8,-,0.972,1.8504,-,[1.4908-2.27},WDR41,Parkinson's disease,Parkinson disease,-,GCST012431,5:77616673
rs78837976-C,3e-18,-,0.989,16.6736,-,[9.0911-33.3347},MUC12,Parkinson's disease,Parkinson disease,-,GCST012431,7:101004230
rs74125032-T,2e-10,-,0.002,4.49847E-10,-,[0.000000000000577807-0.000000350225},CARS2,Parkinson's disease,Parkinson disease,-,GCST012431,13:110677242
rs117672332-T,2e-15,-,0.989,7.6928,-,[4.7648-12.5073},"ITGAE,P2RX5",Parkinson's disease,Parkinson disease,-,GCST012431,17:3702823
rs7221167-C,3e-8,-,0.396,0.847932,-,[0.799836-0.898921},MAPT-AS1,Parkinson's disease,Parkinson disease,-,GCST012431,17:45855941
rs199501-A,8e-12,-,0.22413,0.794626,-,[0.743956-0.848747},WNT3,Parkinson's disease,Parkinson disease,-,GCST012431,17:46785247
rs35749011-A,5e-11,-,0.0153,2.24146,-,[1.76182-2.85169},"KRTCAP2,HMGN2P18",Parkinson's disease,Parkinson disease,-,GCST012431,1:155162560
rs3806789-C,9e-10,(conditioned on rs356182),0.4951,0.8265,-,NR,SNCA-AS1,Parkinson's disease,Parkinson disease,-,GCST012431,4:89838405
rs74125084-T,1e-7,-,0.0058,1.058E-4,-,NR,ING1,Parkinson's disease,Parkinson disease,-,GCST012431,13:110720333
rs11653889-A,1e-14,-,0.0072,0.0499,-,NR,"HASPIN,ITGAE",Parkinson's disease,Parkinson disease,-,GCST012431,17:3724162
rs356182-?,5e-8,-,NR,-,0.234 unit increase,[0.15-0.32],SNCA,Parkinson's disease,Parkinson disease,-,GCST90026456,4:89704960
rs116504637-T,1e-6,-,0.74,-,0.35 unit increase,[0.21-0.49],CYP4Z1,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,1:47092261
rs11949046-T,2e-6,-,0.89,-,0.54 unit increase,[0.32-0.76],"RNU6-164P,GABRG2",Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,5:162251793
rs78926797-A,2e-6,-,0.6,-,0.3 unit decrease,[0.18-0.42],TMC5,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,16:19491341
rs6932127-T,3e-6,-,0.89,-,0.46 unit decrease,[0.26-0.66],"NKAIN2,RNF217-AS1",Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,6:124786353
rs55971529-A,4e-6,-,0.97,-,1.08 unit decrease,[0.63-1.53],"LINC01495,FANCF",Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,11:22561522
rs988295487-C,5e-6,-,0.96,-,0.84 unit decrease,[0.49-1.19],"TPI1P1,RNU6-161P",Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,1:76725240
rs13330839-A,7e-6,-,0.87,-,0.47 unit decrease,[0.27-0.67],MPHOSPH6-DT,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,-,GCST90000014,16:82246021
rs302714-A,4e-6,-,NR,-,0.0698 unit increase,[0.04-0.1],"RERE-AS1,RERE",Parkinson's disease,Parkinson disease,-,GCST010991,1:8426071
rs28624974-T,8e-12,-,NR,-,0.1016 unit increase,[0.072-0.131],KLHL7,Parkinson's disease,Parkinson disease,-,GCST010991,7:23149317
rs1293298-A,6e-11,-,NR,-,0.1103 unit increase,[0.077-0.143],CTSB,Parkinson's disease,Parkinson disease,-,GCST010991,8:11854934
rs11203810-T,2e-8,-,NR,-,0.0895 unit decrease,[0.058-0.121],"MSR1,RN7SL474P",Parkinson's disease,Parkinson disease,-,GCST010991,8:16854852
rs4921739-T,6e-6,-,NR,-,0.0813 unit decrease,[0.046-0.117],ZDHHC2,Parkinson's disease,Parkinson disease,-,GCST010991,8:17172148
rs13294100-T,3e-10,-,NR,-,0.0942 unit decrease,[0.065-0.124],SH3GL2,Parkinson's disease,Parkinson disease,-,GCST010991,9:17579692
rs2278973-T,3e-7,-,NR,-,0.1373 unit increase,[0.085-0.19],CACNA1B,Parkinson's disease,Parkinson disease,-,GCST010991,9:138121810
rs10906923-A,3e-7,-,NR,-,0.0768 unit increase,[0.047-0.106],ITGA8,Parkinson's disease,Parkinson disease,-,GCST010991,10:15527599
rs144814361-T,2e-12,-,NR,-,0.468 unit increase,[0.34-0.6],BAG3,Parkinson's disease,Parkinson disease,-,GCST010991,10:119651405
rs3793947-A,5e-7,-,NR,-,0.0715 unit decrease,[0.044-0.099],DLG2,Parkinson's disease,Parkinson disease,-,GCST010991,11:83833429
rs3802920-T,7e-9,-,NR,-,0.1012 unit increase,[0.067-0.135],IGSF9B,Parkinson's disease,Parkinson disease,-,GCST010991,11:133917106
rs4653767-T,6e-8,-,NR,-,0.0846 unit increase,[0.054-0.115],ITPKB,Parkinson's disease,Parkinson disease,-,GCST010991,1:226728377
rs144029582-A,4e-7,-,NR,-,0.3265 unit increase,[0.2-0.45],"MTND1P24,LINC02400",Parkinson's disease,Parkinson disease,-,GCST010991,12:41754811
rs11060112-A,2e-10,-,NR,-,0.1102 unit increase,[0.076-0.144],CCDC62,Parkinson's disease,Parkinson disease,-,GCST010991,12:122807956
rs11158026-T,1e-10,-,NR,-,0.0993 unit decrease,[0.069-0.129],GCH1,Parkinson's disease,Parkinson disease,-,GCST010991,14:54882151
rs8005172-T,6e-10,-,NR,-,0.086 unit increase,[0.059-0.113],GPR65,Parkinson's disease,Parkinson disease,-,GCST010991,14:88006268
rs12467316-A,5e-7,-,NR,-,0.0753 unit increase,[0.046-0.105],LINC01127,Parkinson's disease,Parkinson disease,-,GCST010991,2:101988187
rs6430538-T,1e-13,-,NR,-,0.1094 unit decrease,[0.081-0.138],CCNT2-AS1,Parkinson's disease,Parkinson disease,-,GCST010991,2:134782397
rs148534175-T,1e-8,-,NR,-,0.1113 unit increase,[0.073-0.149],"MED13,Y_RNA",Parkinson's disease,Parkinson disease,-,GCST010991,17:62120839
rs12456492-A,2e-9,-,NR,-,0.0892 unit decrease,[0.06-0.118],RIT2,Parkinson's disease,Parkinson disease,-,GCST010991,18:43093415
rs113732002-A,3e-7,-,NR,-,0.1272 unit decrease,[0.079-0.176],NGEF,Parkinson's disease,Parkinson disease,-,GCST010991,2:232982170
rs13078687-A,9e-9,-,NR,-,0.1206 unit increase,[0.079-0.162],TBC1D5,Parkinson's disease,Parkinson disease,-,GCST010991,3:18181950
rs55740225-T,3e-7,-,NR,-,0.0946 unit decrease,[0.058-0.131],PARP9,Parkinson's disease,Parkinson disease,-,GCST010991,3:122549781
rs181870458-A,2e-7,-,NR,-,0.4355 unit increase,[0.27-0.6],"LARP7P4,RNA5SP144",Parkinson's disease,Parkinson disease,-,GCST010991,3:145333493
rs2276765-A,2e-7,-,NR,-,0.0761 unit increase,[0.047-0.105],MED12L,Parkinson's disease,Parkinson disease,-,GCST010991,3:151413434
rs1450522-A,6e-8,-,NR,-,0.0797 unit decrease,[0.051-0.109],SPTSSB,Parkinson's disease,Parkinson disease,-,GCST010991,3:161359842
rs140278703-T,2e-11,-,NR,-,0.1671 unit decrease,[0.12-0.22],MCCC1,Parkinson's disease,Parkinson disease,-,GCST010991,3:183034255
rs34884217-A,1e-11,-,NR,-,0.1915 unit increase,[0.14-0.25],TMEM175,Parkinson's disease,Parkinson disease,-,GCST010991,4:950422
rs12651314-T,2e-11,-,NR,-,0.1179 unit decrease,[0.083-0.152],BST1,Parkinson's disease,Parkinson disease,-,GCST010991,4:15751947
rs12643261-T,4e-11,-,NR,-,0.1585 unit decrease,[0.11-0.21],"FAM47E,FAM47E-STBD1",Parkinson's disease,Parkinson disease,-,GCST010991,4:76255695
rs10516839-T,4e-17,-,NR,-,0.1382 unit decrease,[0.11-0.17],"GPRIN3,SNCA",Parkinson's disease,Parkinson disease,-,GCST010991,4:89587189
rs13107325-T,7e-8,-,NR,-,0.1495 unit decrease,[0.095-0.204],SLC39A8,Parkinson's disease,Parkinson disease,-,GCST010991,4:102267552
rs17483653-A,5e-7,-,NR,-,0.1043 unit increase,[0.064-0.145],CAMK2D,Parkinson's disease,Parkinson disease,-,GCST010991,4:113422713
rs1867598-A,7e-10,-,NR,-,0.1444 unit decrease,[0.099-0.19],ELOVL7,Parkinson's disease,Parkinson disease,-,GCST010991,5:60842132
rs6875262-T,3e-9,-,NR,-,0.1639 unit increase,[0.11-0.22],"LINC02240,ZNF608",Parkinson's disease,Parkinson disease,-,GCST010991,5:124774580
rs2647062-A,6e-12,-,NR,-,0.143 unit increase,[0.1-0.18],"HLA-DQA1,HLA-DRB1",Parkinson's disease,Parkinson disease,-,GCST010991,6:32602640
rs943437-A,2e-7,-,NR,-,0.1105 unit increase,[0.069-0.152],"CCN6,LINC02527",Parkinson's disease,Parkinson disease,-,GCST010991,6:111921050
rs34372695-T,4e-12,-,NR,-,0.3189 unit increase,[0.23-0.41],"RAB25,LAMTOR2",Parkinson's disease,Parkinson disease,-,GCST010991,1:156060246
rs4915466-T,1e-6,-,NR,-,0.0706 unit increase,[0.042-0.099],MROH3P,Parkinson's disease,Parkinson disease,-,GCST010991,1:200936379
rs3805-T,4e-11,-,NR,-,0.132 unit decrease,[0.093-0.171],NUCKS1,Parkinson's disease,Parkinson disease,-,GCST010991,1:205714227
rs77669894-A,4e-8,-,NR,-,0.3283 unit increase,[0.21-0.45],BICD1-AS1,Parkinson's disease,Parkinson disease,-,GCST010991,12:32089513
rs138895122-T,6e-12,-,NR,-,0.6116 unit increase,[0.44-0.79],"SYT10,ASS1P14",Parkinson's disease,Parkinson disease,-,GCST010991,12:33075690
rs28370664-A,7e-26,-,NR,-,0.4475 unit increase,[0.36-0.53],SLC2A13,Parkinson's disease,Parkinson disease,-,GCST010991,12:40019503
rs10797576-T,2e-7,-,NR,-,0.1045 unit increase,[0.065-0.144],SIPA1L2,Parkinson's disease,Parkinson disease,-,GCST010991,1:232528865
rs3889108-T,7e-9,-,NR,-,0.1322 unit decrease,[0.088-0.177],"LINC02349,RORA",Parkinson's disease,Parkinson disease,-,GCST010991,15:61712597
rs1027647-A,2e-6,-,NR,-,0.0698 unit increase,[0.041-0.099],"TPM1,LACTB",Parkinson's disease,Parkinson disease,-,GCST010991,15:63082626
rs140820592-T,1e-8,-,NR,-,0.0859 unit decrease,[0.056-0.115],STX1B,Parkinson's disease,Parkinson disease,-,GCST010991,16:31010559
rs113564729-A,2e-11,-,NR,-,0.0994 unit increase,[0.07-0.129],KANSL1,Parkinson's disease,Parkinson disease,-,GCST010991,17:46101729
rs4667572-A,4e-13,-,NR,-,0.1377 unit increase,[0.1-0.17],"RN7SL813P,STK39",Parkinson's disease,Parkinson disease,-,GCST010991,2:168299490
rs8087969-T,5e-6,-,NR,-,0.0645 unit decrease,[0.037-0.092],"SMAD4,SRSF10P1",Parkinson's disease,Parkinson disease,-,GCST010991,18:51157219
rs6060983-T,6e-7,-,NR,-,0.0767 unit increase,[0.047-0.107],MYLK2,Parkinson's disease,Parkinson disease,-,GCST010991,20:31833121
rs11701722-T,5e-8,-,NR,-,0.083 unit decrease,[0.053-0.113],DYRK1A,Parkinson's disease,Parkinson disease,-,GCST010991,21:37398228
rs56379273-A,9e-8,-,NR,-,0.3655 unit increase,[0.23-0.5],TRPM2,Parkinson's disease,Parkinson disease,-,GCST010991,21:44406603
rs2979160-A,3e-6,-,NR,-,-,-,LINC02950,Parkinson's disease,Parkinson disease,-,GCST010991,8:8450156
rs9468195-A,2e-9,-,NR,-,-,-,LINC01012,Parkinson's disease,Parkinson disease,-,GCST010991,6:27708530
rs3773384-C,4e-6,-,0.58,2.3255813,-,[1.28-12.5],"CHL1-AS1,CHL1",Parkinsonism in frontotemporal lobe dementia,Parkinson disease,frontotemporal dementia,GCST006153,3:374758
rs34656641-C,8e-6,-,0.08,3.26,-,[2.75-3.77],SP1,Parkinsonism in frontotemporal lobe dementia,Parkinson disease,frontotemporal dementia,GCST006153,12:53403452
rs17833740-T,9e-6,-,0.29,2.17,-,[1.84-2.50],LINC01500,Parkinsonism in frontotemporal lobe dementia,Parkinson disease,frontotemporal dementia,GCST006153,14:59154251
rs356219-?,2e-11,-,NR,1.29,-,[1.198-1.391],SNCA,Parkinson's disease in GBA mutation carriers,Parkinson disease,GBA carrier status,GCST009373,4:89716450
rs1293298-?,6e-6,-,NR,1.22,-,[1.12-1.32],CTSB,Parkinson's disease in GBA mutation carriers,Parkinson disease,GBA carrier status,GCST009373,8:11854934
rs356182-G,2e-9,-,0.34261,-,0.223036 unit increase,[0.15-0.3],SNCA,Parkinson's disease,Parkinson disease,-,GCST009512,4:89704960
rs190807041-G,7e-11,-,0.01044,-,2.03403 unit increase,[1.42-2.65],"LRRK2,MUC19",Parkinson's disease,Parkinson disease,-,GCST009512,12:40379882
rs113434679-A,9e-13,-,0.22119,-,0.311323 unit decrease,[0.23-0.4],KANSL1,Parkinson's disease,Parkinson disease,-,GCST009512,17:46049399
rs9275152-C,2e-8,-,0.08263,-,0.376551 unit decrease,[0.25-0.51],"HLA-DQB1,MTCO3P1",Parkinson's disease,Parkinson disease,-,GCST009512,6:32684419
rs62053943-T,8e-9,-,0.17489,-,0.2957 unit decrease,[0.2-0.4],LINC02210-CRHR1,Parkinson's disease,Parkinson disease,-,GCST009512,17:45666837
rs34311866-C,3e-7,-,0.16547,-,0.2425 unit increase,[0.15-0.34],TMEM175,Parkinson's disease,Parkinson disease,-,GCST009512,4:958159
rs11150601-G,6e-6,-,0.32723,-,0.1669 unit decrease,[0.095-0.239],SETD1A,Parkinson's disease,Parkinson disease,-,GCST009512,16:30966478
rs114138760-C,4e-9,-,0.0112,-,0.2812 unit increase,[0.19-0.37],PMVK,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:154925709
rs35749011-A,2e-70,-,0.0169,-,0.6068 unit increase,[0.54-0.67],"KRTCAP2,HMGN2P18",Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:155162560
rs76763715-T,2e-22,-,0.9953,-,0.7467 unit decrease,[0.6-0.9],GBA1,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:155235843
rs6658353-C,6e-12,-,0.5011,-,0.065 unit increase,[0.047-0.083],"FCGR2A,RNU6-481P",Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:161499264
rs11578699-T,4e-9,-,0.1949,-,0.0704 unit decrease,[0.047-0.094],"METTL13,VAMP4",Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:171750629
rs823118-T,1.0000000000000001e-29,-,0.566,-,0.1066 unit increase,[0.088-0.125],"NUCKS1,RAB29",Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:205754444
rs11557080-A,3e-22,-,0.1389,-,0.1315 unit increase,[0.11-0.16],RAB29,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:205768611
rs4653767-T,1e-15,-,0.7196,-,0.0833 unit increase,[0.063-0.104],ITPKB,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,1:226728377
rs13117519-T,1e-12,-,0.1744,-,0.0875 unit increase,[0.063-0.112],CAMK2D,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,4:113447909
rs2042477-A,1e-8,-,0.2422,-,0.0657 unit decrease,[0.043-0.088],KCNIP3,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,2:95335195
rs11683001-A,8e-13,-,0.337,-,0.0705 unit increase,[0.051-0.09],MAP4K4,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,2:101780501
rs1867598-A,3e-23,-,0.9019,-,0.1554 unit decrease,[0.12-0.19],ELOVL7,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,5:60842132
rs73038319-A,6e-13,-,0.9592,-,0.1693 unit decrease,[0.12-0.22],TBC1D5,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,3:18320267
rs11950533-A,7e-9,-,0.102,-,0.0916 unit decrease,[0.061-0.123],"C5orf24,TXNDC15",Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,5:134863415
rs55961674-T,1e-11,-,0.1722,-,0.0861 unit increase,[0.061-0.111],KPNA1,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,3:122478045
rs11707416-A,1e-10,-,0.3672,-,0.0627 unit decrease,[0.044-0.082],MED12L,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,-,GCST009325,3:151391177
